Setting MPI environment
Thread 3 from rank 0
Thread 4 from rank 0
Thread 2 from rank 0
Thread 5 from rank 0
Thread 1 from rank 0
Thread 0 from rank 0
Reading parameters:
	 rhs_function=1
	 nx=161
	 ny=161
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 26 0 161
I am writing output_source
Step 316, Diff=0.0240239
Step 317, Diff=0.0240054
Step 318, Diff=0.0239869
Step 319, Diff=0.0239684
Step 320, Diff=0.0239499
Step 321, Diff=0.0239314
Step 322, Diff=0.023913
Step 323, Diff=0.0238946
Step 324, Diff=0.0238761
Step 325, Diff=0.0238577
Step 326, Diff=0.0238393
Step 327, Diff=0.023821
Step 328, Diff=0.0238026
Step 329, Diff=0.0237842
Step 330, Diff=0.0237659
Step 331, Diff=0.0237476
Step 332, Diff=0.0237293
Step 333, Diff=0.023711
Step 334, Diff=0.0236927
Step 335, Diff=0.0236744
Step 336, Diff=0.0236562
Step 337, Diff=0.0236379
Step 338, Diff=0.0236197
Step 339, Diff=0.0236015
Step 340, Diff=0.0235833
Step 341, Diff=0.0235651
Step 342, Diff=0.023547
Step 343, Diff=0.0235288
Step 344, Diff=0.0235107
Step 345, Diff=0.0234925
Step 346, Diff=0.0234744
Step 347, Diff=0.0234563
Step 348, Diff=0.0234382
Step 349, Diff=0.0234202
Step 350, Diff=0.0234021
Step 351, Diff=0.0233841
Step 352, Diff=0.0233661
Step 353, Diff=0.023348
Step 354, Diff=0.02333
Step 355, Diff=0.0233121
Step 356, Diff=0.0232941
Step 357, Diff=0.0232761
Step 358, Diff=0.0232582
Step 359, Diff=0.0232402
Step 360, Diff=0.0232223
Step 361, Diff=0.0232044
Step 362, Diff=0.0231865
Step 363, Diff=0.0231687
Step 364, Diff=0.0231508
Step 365, Diff=0.0231329
Step 366, Diff=0.0231151
Step 367, Diff=0.0230973
Step 368, Diff=0.0230795
Step 369, Diff=0.0230617
Step 370, Diff=0.0230439
Step 371, Diff=0.0230261
Step 372, Diff=0.0230084
Step 373, Diff=0.0229907
Step 374, Diff=0.0229729
Step 375, Diff=0.0229552
Step 376, Diff=0.0229375
Step 377, Diff=0.0229198
Step 378, Diff=0.0229022
Step 379, Diff=0.0228845
Step 380, Diff=0.0228669
Step 381, Diff=0.0228492
Step 382, Diff=0.0228316
Step 383, Diff=0.022814
Step 384, Diff=0.0227964
Step 385, Diff=0.0227789
Step 386, Diff=0.0227613
Step 387, Diff=0.0227437
Step 388, Diff=0.0227262
Step 389, Diff=0.0227087
Step 390, Diff=0.0226912
Step 391, Diff=0.0226737
Step 392, Diff=0.0226562
Step 393, Diff=0.0226387
Step 394, Diff=0.0226213
Step 395, Diff=0.0226038
Step 396, Diff=0.0225864
Step 397, Diff=0.022569
Step 398, Diff=0.0225516
Step 399, Diff=0.0225342
Step 400, Diff=0.0225168
Step 401, Diff=0.0224995
Step 402, Diff=0.0224821
Step 403, Diff=0.0224648
Step 404, Diff=0.0224475
Step 405, Diff=0.0224302
Step 406, Diff=0.0224129
Step 407, Diff=0.0223956
Step 408, Diff=0.0223783
Step 409, Diff=0.0223611
Step 410, Diff=0.0223438
Step 411, Diff=0.0223266
Step 412, Diff=0.0223094
Step 413, Diff=0.0222922
Step 414, Diff=0.022275
Step 415, Diff=0.0222579
Step 416, Diff=0.0222407
Step 417, Diff=0.0222235
Step 418, Diff=0.0222064
Step 419, Diff=0.0221893
Step 420, Diff=0.0221722
Step 421, Diff=0.0221551
Step 422, Diff=0.022138
Step 423, Diff=0.0221209
Step 424, Diff=0.0221039
Step 425, Diff=0.0220868
Step 426, Diff=0.0220698
Step 427, Diff=0.0220528
Step 428, Diff=0.0220358
Step 429, Diff=0.0220188
Step 430, Diff=0.0220018
Step 431, Diff=0.0219849
Step 432, Diff=0.0219679
Step 433, Diff=0.021951
Step 434, Diff=0.0219341
Step 435, Diff=0.0219172
Step 436, Diff=0.0219003
Step 437, Diff=0.0218834
Step 438, Diff=0.0218665
Step 439, Diff=0.0218496
Step 440, Diff=0.0218328
Step 441, Diff=0.021816
Step 442, Diff=0.0217991
Step 443, Diff=0.0217823
Step 444, Diff=0.0217655
Step 445, Diff=0.0217488
Step 446, Diff=0.021732
Step 447, Diff=0.0217152
Step 448, Diff=0.0216985
Step 449, Diff=0.0216818
Step 450, Diff=0.0216651
Step 451, Diff=0.0216484
Step 452, Diff=0.0216317
Step 453, Diff=0.021615
Step 454, Diff=0.0215983
Step 455, Diff=0.0215817
Step 456, Diff=0.021565
Step 457, Diff=0.0215484
Step 458, Diff=0.0215318
Step 459, Diff=0.0215152
Step 460, Diff=0.0214986
Step 461, Diff=0.021482
Step 462, Diff=0.0214655
Step 463, Diff=0.0214489
Step 464, Diff=0.0214324
Step 465, Diff=0.0214159
Step 466, Diff=0.0213993
Step 467, Diff=0.0213829
Step 468, Diff=0.0213664
Step 469, Diff=0.0213499
Step 470, Diff=0.0213334
Step 471, Diff=0.021317
Step 472, Diff=0.0213006
Step 473, Diff=0.0212841
Step 474, Diff=0.0212677
Step 475, Diff=0.0212513
Step 476, Diff=0.0212349
Step 477, Diff=0.0212186
Step 478, Diff=0.0212022
Step 479, Diff=0.0211859
Step 480, Diff=0.0211695
Step 481, Diff=0.0211532
Step 482, Diff=0.0211369
Step 483, Diff=0.0211206
Step 484, Diff=0.0211043
Step 485, Diff=0.021088
Step 486, Diff=0.0210718
Step 487, Diff=0.0210555
Step 488, Diff=0.0210393
Step 489, Diff=0.0210231
Step 490, Diff=0.0210069
Step 491, Diff=0.0209907
Step 492, Diff=0.0209745
Step 493, Diff=0.0209583
Step 494, Diff=0.0209422
Step 495, Diff=0.020926
Step 496, Diff=0.0209099
Step 497, Diff=0.0208938
Step 498, Diff=0.0208777
Step 499, Diff=0.0208616
Step 500, Diff=0.0208455
Step 501, Diff=0.0208294
Step 502, Diff=0.0208134
Step 503, Diff=0.0207973
Step 504, Diff=0.0207813
Step 505, Diff=0.0207653
Step 506, Diff=0.0207492
Step 507, Diff=0.0207333
Step 508, Diff=0.0207173
Step 509, Diff=0.0207013
Step 510, Diff=0.0206853
Step 511, Diff=0.0206694
Step 512, Diff=0.0206535
