params: /var/spool/slurmd/job30981487/slurm_script, params_1024.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 256 0 1024
I am rank 0, my neighbours are: left: -1, right: 1, bottom: -1, top: -1
I am writing output_source
Step 272, Diff=7.27484e-05
Step 273, Diff=7.25466e-05
Step 274, Diff=7.23461e-05
Step 275, Diff=7.21469e-05
Step 276, Diff=7.19489e-05
Step 277, Diff=7.17522e-05
Step 278, Diff=7.15567e-05
Step 279, Diff=7.13625e-05
Step 280, Diff=7.11694e-05
Step 281, Diff=7.09776e-05
Step 282, Diff=7.0787e-05
Step 283, Diff=7.05975e-05
Step 284, Diff=7.04093e-05
Step 285, Diff=7.02221e-05
Step 286, Diff=7.00362e-05
Step 287, Diff=6.98513e-05
Step 288, Diff=6.96676e-05
Step 289, Diff=6.9485e-05
Step 290, Diff=6.93035e-05
Step 291, Diff=6.91232e-05
Step 292, Diff=6.89438e-05
Step 293, Diff=6.87656e-05
Step 294, Diff=6.85884e-05
Step 295, Diff=6.84123e-05
Step 296, Diff=6.82372e-05
Step 297, Diff=6.80632e-05
Step 298, Diff=6.78902e-05
Step 299, Diff=6.77181e-05
Step 300, Diff=6.75471e-05
Step 301, Diff=6.73771e-05
Step 302, Diff=6.72081e-05
Step 303, Diff=6.70401e-05
Step 304, Diff=6.6873e-05
Step 305, Diff=6.67069e-05
Step 306, Diff=6.65417e-05
Step 307, Diff=6.63775e-05
Step 308, Diff=6.62142e-05
Step 309, Diff=6.60519e-05
Step 310, Diff=6.58905e-05
Step 311, Diff=6.57299e-05
Step 312, Diff=6.55703e-05
Step 313, Diff=6.54116e-05
Step 314, Diff=6.52537e-05
Step 315, Diff=6.50968e-05
Step 316, Diff=6.49407e-05
Step 317, Diff=6.47855e-05
Step 318, Diff=6.46311e-05
Step 319, Diff=6.44776e-05
Step 320, Diff=6.43249e-05
Step 321, Diff=6.4173e-05
Step 322, Diff=6.4022e-05
Step 323, Diff=6.38718e-05
Step 324, Diff=6.37224e-05
Step 325, Diff=6.35738e-05
Step 326, Diff=6.34261e-05
Step 327, Diff=6.32791e-05
Step 328, Diff=6.31329e-05
Step 329, Diff=6.29874e-05
Step 330, Diff=6.28428e-05
Step 331, Diff=6.26989e-05
Step 332, Diff=6.25558e-05
Step 333, Diff=6.24134e-05
Step 334, Diff=6.22718e-05
Step 335, Diff=6.21309e-05
Step 336, Diff=6.19908e-05
Step 337, Diff=6.18513e-05
Step 338, Diff=6.17126e-05
Step 339, Diff=6.15747e-05
Step 340, Diff=6.14374e-05
Step 341, Diff=6.13008e-05
Step 342, Diff=6.1165e-05
Step 343, Diff=6.10298e-05
Step 344, Diff=6.08953e-05
Step 345, Diff=6.07616e-05
Step 346, Diff=6.06284e-05
Step 347, Diff=6.0496e-05
Step 348, Diff=6.03642e-05
Step 349, Diff=6.02331e-05
Step 350, Diff=6.01027e-05
Step 351, Diff=5.99729e-05
Step 352, Diff=5.98437e-05
Step 353, Diff=5.97152e-05
Step 354, Diff=5.95873e-05
Step 355, Diff=5.94601e-05
Step 356, Diff=5.93334e-05
Step 357, Diff=5.92074e-05
Step 358, Diff=5.90821e-05
Step 359, Diff=5.89573e-05
Step 360, Diff=5.88331e-05
Step 361, Diff=5.87096e-05
Step 362, Diff=5.85866e-05
Step 363, Diff=5.84642e-05
Step 364, Diff=5.83425e-05
Step 365, Diff=5.82213e-05
Step 366, Diff=5.81007e-05
Step 367, Diff=5.79806e-05
Step 368, Diff=5.78612e-05
Step 369, Diff=5.77423e-05
Step 370, Diff=5.7624e-05
Step 371, Diff=5.75062e-05
Step 372, Diff=5.7389e-05
Step 373, Diff=5.72723e-05
Step 374, Diff=5.71562e-05
Step 375, Diff=5.70406e-05
Step 376, Diff=5.69256e-05
Step 377, Diff=5.68111e-05
Step 378, Diff=5.66971e-05
Step 379, Diff=5.65837e-05
Step 380, Diff=5.64708e-05
Step 381, Diff=5.63584e-05
Step 382, Diff=5.62465e-05
Step 383, Diff=5.61351e-05
Step 384, Diff=5.60242e-05
Step 385, Diff=5.59139e-05
Step 386, Diff=5.5804e-05
Step 387, Diff=5.56947e-05
Step 388, Diff=5.55858e-05
Step 389, Diff=5.54774e-05
Step 390, Diff=5.53696e-05
Step 391, Diff=5.52622e-05
Step 392, Diff=5.51552e-05
Step 393, Diff=5.50488e-05
Step 394, Diff=5.49428e-05
Step 395, Diff=5.48373e-05
Step 396, Diff=5.47323e-05
Step 397, Diff=5.46277e-05
Step 398, Diff=5.45236e-05
Step 399, Diff=5.442e-05
Step 400, Diff=5.43168e-05
Step 401, Diff=5.4214e-05
Step 402, Diff=5.41117e-05
Step 403, Diff=5.40099e-05
Step 404, Diff=5.39085e-05
Step 405, Diff=5.38075e-05
Step 406, Diff=5.3707e-05
Step 407, Diff=5.36069e-05
Step 408, Diff=5.35072e-05
Step 409, Diff=5.3408e-05
Step 410, Diff=5.33091e-05
Step 411, Diff=5.32107e-05
Step 412, Diff=5.31128e-05
Step 413, Diff=5.30152e-05
Step 414, Diff=5.29181e-05
Step 415, Diff=5.28213e-05
Step 416, Diff=5.2725e-05
Step 417, Diff=5.26291e-05
Step 418, Diff=5.25335e-05
Step 419, Diff=5.24384e-05
Step 420, Diff=5.23437e-05
Step 421, Diff=5.22494e-05
Step 422, Diff=5.21554e-05
Step 423, Diff=5.20619e-05
Step 424, Diff=5.19687e-05
Step 425, Diff=5.18759e-05
Step 426, Diff=5.17835e-05
Step 427, Diff=5.16915e-05
Step 428, Diff=5.15999e-05
Step 429, Diff=5.15086e-05
Step 430, Diff=5.14177e-05
Step 431, Diff=5.13272e-05
Step 432, Diff=5.1237e-05
Step 433, Diff=5.11473e-05
Step 434, Diff=5.10578e-05
Step 435, Diff=5.09688e-05
Step 436, Diff=5.08801e-05
Step 437, Diff=5.07917e-05
Step 438, Diff=5.07037e-05
Step 439, Diff=5.06161e-05
Step 440, Diff=5.05288e-05
Step 441, Diff=5.04418e-05
Step 442, Diff=5.03552e-05
Step 443, Diff=5.02689e-05
Step 444, Diff=5.0183e-05
Step 445, Diff=5.00974e-05
Step 446, Diff=5.00122e-05
Step 447, Diff=4.99273e-05
Step 448, Diff=4.98427e-05
Step 449, Diff=4.97584e-05
Step 450, Diff=4.96745e-05
Step 451, Diff=4.95909e-05
Step 452, Diff=4.95076e-05
Step 453, Diff=4.94247e-05
Step 454, Diff=4.93421e-05
Step 455, Diff=4.92598e-05
Step 456, Diff=4.91778e-05
Step 457, Diff=4.90961e-05
Step 458, Diff=4.90147e-05
Step 459, Diff=4.89337e-05
Step 460, Diff=4.88529e-05
Step 461, Diff=4.87725e-05
Step 462, Diff=4.86923e-05
Step 463, Diff=4.86125e-05
Step 464, Diff=4.8533e-05
Step 465, Diff=4.84538e-05
Step 466, Diff=4.83748e-05
Step 467, Diff=4.82962e-05
Step 468, Diff=4.82179e-05
Step 469, Diff=4.81398e-05
Step 470, Diff=4.80621e-05
Step 471, Diff=4.79846e-05
Step 472, Diff=4.79074e-05
Step 473, Diff=4.78305e-05
Step 474, Diff=4.77539e-05
Step 475, Diff=4.76776e-05
Step 476, Diff=4.76016e-05
Step 477, Diff=4.75258e-05
Step 478, Diff=4.74503e-05
Step 479, Diff=4.73751e-05
Step 480, Diff=4.73002e-05
Step 481, Diff=4.72255e-05
Step 482, Diff=4.71511e-05
Step 483, Diff=4.7077e-05
Step 484, Diff=4.70031e-05
Step 485, Diff=4.69296e-05
Step 486, Diff=4.68562e-05
Step 487, Diff=4.67832e-05
Step 488, Diff=4.67104e-05
Step 489, Diff=4.66379e-05
Step 490, Diff=4.65656e-05
Step 491, Diff=4.64936e-05
Step 492, Diff=4.64218e-05
Step 493, Diff=4.63503e-05
Step 494, Diff=4.62791e-05
Step 495, Diff=4.62081e-05
Step 496, Diff=4.61373e-05
Step 497, Diff=4.60668e-05
Step 498, Diff=4.59966e-05
Step 499, Diff=4.59266e-05
Step 500, Diff=4.58568e-05
Step 501, Diff=4.57873e-05
Step 502, Diff=4.57181e-05
Step 503, Diff=4.5649e-05
Step 504, Diff=4.55803e-05
Step 505, Diff=4.55117e-05
Step 506, Diff=4.54434e-05
Step 507, Diff=4.53753e-05
Step 508, Diff=4.53075e-05
Step 509, Diff=4.52399e-05
Step 510, Diff=4.51725e-05
Step 511, Diff=4.51054e-05
Step 512, Diff=4.50385e-05
Step 513, Diff=4.49718e-05
Step 514, Diff=4.49053e-05
Step 515, Diff=4.48391e-05
Step 516, Diff=4.47731e-05
Step 517, Diff=4.47073e-05
Step 518, Diff=4.46418e-05
Step 519, Diff=4.45764e-05
Step 520, Diff=4.45113e-05
Step 521, Diff=4.44464e-05
Step 522, Diff=4.43818e-05
