params: /var/spool/slurmd/job30980788/slurm_script, params_512.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=512
	 ny=512
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 15 0 512
I am rank 0, my neighbours are: left: -1, right: 1, bottom: -1, top: -1
I am writing output_source
Step 1, Diff=0.0078125
Step 5024, Diff=1.03223e-05
Step 5025, Diff=1.03207e-05
Step 5026, Diff=1.0319e-05
Step 5027, Diff=1.03173e-05
Step 5028, Diff=1.03156e-05
Step 5029, Diff=1.03139e-05
Step 5030, Diff=1.03122e-05
Step 5031, Diff=1.03106e-05
Step 5032, Diff=1.03089e-05
Step 5033, Diff=1.03072e-05
Step 5034, Diff=1.03055e-05
Step 5035, Diff=1.03038e-05
Step 5036, Diff=1.03021e-05
Step 5037, Diff=1.03005e-05
Step 5038, Diff=1.02988e-05
Step 5039, Diff=1.02971e-05
Step 5040, Diff=1.02954e-05
Step 5041, Diff=1.02938e-05
Step 5042, Diff=1.02921e-05
Step 5043, Diff=1.02904e-05
Step 5044, Diff=1.02887e-05
Step 5045, Diff=1.02871e-05
Step 5046, Diff=1.02854e-05
Step 5047, Diff=1.02837e-05
Step 5048, Diff=1.0282e-05
Step 5049, Diff=1.02804e-05
Step 5050, Diff=1.02787e-05
Step 5051, Diff=1.0277e-05
Step 5052, Diff=1.02754e-05
Step 5053, Diff=1.02737e-05
Step 5054, Diff=1.0272e-05
Step 5055, Diff=1.02703e-05
Step 5056, Diff=1.02687e-05
Step 5057, Diff=1.0267e-05
Step 5058, Diff=1.02653e-05
Step 5059, Diff=1.02637e-05
Step 5060, Diff=1.0262e-05
Step 5061, Diff=1.02603e-05
Step 5062, Diff=1.02587e-05
Step 5063, Diff=1.0257e-05
Step 5064, Diff=1.02554e-05
Step 5065, Diff=1.02537e-05
Step 5066, Diff=1.0252e-05
Step 5067, Diff=1.02504e-05
Step 5068, Diff=1.02487e-05
Step 5069, Diff=1.0247e-05
Step 5070, Diff=1.02454e-05
Step 5071, Diff=1.02437e-05
Step 5072, Diff=1.02421e-05
Step 5073, Diff=1.02404e-05
Step 5074, Diff=1.02387e-05
Step 5075, Diff=1.02371e-05
Step 5076, Diff=1.02354e-05
Step 5077, Diff=1.02338e-05
Step 5078, Diff=1.02321e-05
Step 5079, Diff=1.02305e-05
Step 5080, Diff=1.02288e-05
Step 5081, Diff=1.02272e-05
Step 5082, Diff=1.02255e-05
Step 5083, Diff=1.02239e-05
Step 5084, Diff=1.02222e-05
Step 5085, Diff=1.02206e-05
Step 5086, Diff=1.02189e-05
Step 5087, Diff=1.02172e-05
Step 5088, Diff=1.02156e-05
Step 5089, Diff=1.0214e-05
Step 5090, Diff=1.02123e-05
Step 5091, Diff=1.02107e-05
Step 5092, Diff=1.0209e-05
Step 5093, Diff=1.02074e-05
Step 5094, Diff=1.02057e-05
Step 5095, Diff=1.02041e-05
Step 5096, Diff=1.02024e-05
Step 5097, Diff=1.02008e-05
Step 5098, Diff=1.01991e-05
Step 5099, Diff=1.01975e-05
Step 5100, Diff=1.01958e-05
Step 5101, Diff=1.01942e-05
Step 5102, Diff=1.01926e-05
Step 5103, Diff=1.01909e-05
Step 5104, Diff=1.01893e-05
Step 5105, Diff=1.01876e-05
Step 5106, Diff=1.0186e-05
Step 5107, Diff=1.01844e-05
Step 5108, Diff=1.01827e-05
Step 5109, Diff=1.01811e-05
Step 5110, Diff=1.01795e-05
Step 5111, Diff=1.01778e-05
Step 5112, Diff=1.01762e-05
Step 5113, Diff=1.01745e-05
Step 5114, Diff=1.01729e-05
Step 5115, Diff=1.01713e-05
Step 5116, Diff=1.01696e-05
Step 5117, Diff=1.0168e-05
Step 5118, Diff=1.01664e-05
Step 5119, Diff=1.01647e-05
Step 5120, Diff=1.01631e-05
Step 5121, Diff=1.01615e-05
Step 5122, Diff=1.01598e-05
Step 5123, Diff=1.01582e-05
Step 5124, Diff=1.01566e-05
Step 5125, Diff=1.0155e-05
Step 5126, Diff=1.01533e-05
Step 5127, Diff=1.01517e-05
Step 5128, Diff=1.01501e-05
Step 5129, Diff=1.01485e-05
Step 5130, Diff=1.01468e-05
Step 5131, Diff=1.01452e-05
Step 5132, Diff=1.01436e-05
Step 5133, Diff=1.0142e-05
Step 5134, Diff=1.01403e-05
Step 5135, Diff=1.01387e-05
Step 5136, Diff=1.01371e-05
Step 5137, Diff=1.01355e-05
Step 5138, Diff=1.01338e-05
Step 5139, Diff=1.01322e-05
Step 5140, Diff=1.01306e-05
Step 5141, Diff=1.0129e-05
Step 5142, Diff=1.01274e-05
Step 5143, Diff=1.01257e-05
Step 5144, Diff=1.01241e-05
Step 5145, Diff=1.01225e-05
Step 5146, Diff=1.01209e-05
Step 5147, Diff=1.01193e-05
Step 5148, Diff=1.01177e-05
Step 5149, Diff=1.0116e-05
Step 5150, Diff=1.01144e-05
Step 5151, Diff=1.01128e-05
Step 5152, Diff=1.01112e-05
Step 5153, Diff=1.01096e-05
Step 5154, Diff=1.0108e-05
Step 5155, Diff=1.01064e-05
Step 5156, Diff=1.01047e-05
Step 5157, Diff=1.01031e-05
Step 5158, Diff=1.01015e-05
Step 5159, Diff=1.00999e-05
Step 5160, Diff=1.00983e-05
Step 5161, Diff=1.00967e-05
Step 5162, Diff=1.00951e-05
Step 5163, Diff=1.00935e-05
Step 5164, Diff=1.00919e-05
Step 5165, Diff=1.00903e-05
Step 5166, Diff=1.00887e-05
Step 5167, Diff=1.00871e-05
Step 5168, Diff=1.00855e-05
Step 5169, Diff=1.00838e-05
Step 5170, Diff=1.00822e-05
Step 5171, Diff=1.00806e-05
Step 5172, Diff=1.0079e-05
Step 5173, Diff=1.00774e-05
Step 5174, Diff=1.00758e-05
Step 5175, Diff=1.00742e-05
Step 5176, Diff=1.00726e-05
Step 5177, Diff=1.0071e-05
Step 5178, Diff=1.00694e-05
Step 5179, Diff=1.00678e-05
Step 5180, Diff=1.00662e-05
Step 5181, Diff=1.00646e-05
Step 5182, Diff=1.0063e-05
Step 5183, Diff=1.00614e-05
Step 5184, Diff=1.00599e-05
Step 5185, Diff=1.00583e-05
Step 5186, Diff=1.00567e-05
Step 5187, Diff=1.00551e-05
Step 5188, Diff=1.00535e-05
Step 5189, Diff=1.00519e-05
Step 5190, Diff=1.00503e-05
Step 5191, Diff=1.00487e-05
Step 5192, Diff=1.00471e-05
Step 5193, Diff=1.00455e-05
Step 5194, Diff=1.00439e-05
Step 5195, Diff=1.00423e-05
Step 5196, Diff=1.00407e-05
Step 5197, Diff=1.00392e-05
Step 5198, Diff=1.00376e-05
Step 5199, Diff=1.0036e-05
Step 5200, Diff=1.00344e-05
Step 5201, Diff=1.00328e-05
Step 5202, Diff=1.00312e-05
Step 5203, Diff=1.00296e-05
Step 5204, Diff=1.0028e-05
Step 5205, Diff=1.00265e-05
Step 5206, Diff=1.00249e-05
Step 5207, Diff=1.00233e-05
Step 5208, Diff=1.00217e-05
Step 5209, Diff=1.00201e-05
Step 5210, Diff=1.00185e-05
Step 5211, Diff=1.0017e-05
Step 5212, Diff=1.00154e-05
Step 5213, Diff=1.00138e-05
Step 5214, Diff=1.00122e-05
Step 5215, Diff=1.00106e-05
Step 5216, Diff=1.00091e-05
Step 5217, Diff=1.00075e-05
Step 5218, Diff=1.00059e-05
Step 5219, Diff=1.00043e-05
Step 5220, Diff=1.00028e-05
Step 5221, Diff=1.00012e-05
Step 5222, Diff=9.9996e-06
Step 5223, Diff=9.99802e-06
Step 5224, Diff=9.99645e-06
Step 5225, Diff=9.99487e-06
Step 5226, Diff=9.9933e-06
Step 5227, Diff=9.99173e-06
Step 5228, Diff=9.99016e-06
Step 5229, Diff=9.98858e-06
Step 5230, Diff=9.98701e-06
Step 5231, Diff=9.98544e-06
Step 5232, Diff=9.98387e-06
Step 5233, Diff=9.9823e-06
Step 5234, Diff=9.98073e-06
Step 5235, Diff=9.97916e-06
Step 5236, Diff=9.97759e-06
Step 5237, Diff=9.97603e-06
Step 5238, Diff=9.97446e-06
Step 5239, Diff=9.97289e-06
Step 5240, Diff=9.97133e-06
Step 5241, Diff=9.96976e-06
Step 5242, Diff=9.9682e-06
Step 5243, Diff=9.96663e-06
Step 5244, Diff=9.96507e-06
Step 5245, Diff=9.9635e-06
Step 5246, Diff=9.96194e-06
Step 5247, Diff=9.96038e-06
Step 5248, Diff=9.95882e-06
Step 5249, Diff=9.95726e-06
Step 5250, Diff=9.9557e-06
Step 5251, Diff=9.95413e-06
Step 5252, Diff=9.95257e-06
Step 5253, Diff=9.95102e-06
Step 5254, Diff=9.94946e-06
Step 5255, Diff=9.9479e-06
Step 5256, Diff=9.94634e-06
Step 5257, Diff=9.94478e-06
Step 5258, Diff=9.94323e-06
Step 5259, Diff=9.94167e-06
Step 5260, Diff=9.94012e-06
Step 5261, Diff=9.93856e-06
Step 5262, Diff=9.93701e-06
Step 5263, Diff=9.93545e-06
Step 5264, Diff=9.9339e-06
Step 5265, Diff=9.93235e-06
Step 5266, Diff=9.93079e-06
Step 5267, Diff=9.92924e-06
Step 5268, Diff=9.92769e-06
Step 5269, Diff=9.92614e-06
Step 5270, Diff=9.92459e-06
Step 5271, Diff=9.92304e-06
Step 5272, Diff=9.92149e-06
Step 5273, Diff=9.91994e-06
Step 5274, Diff=9.91839e-06
Step 5275, Diff=9.91684e-06
Step 5276, Diff=9.9153e-06
Step 5277, Diff=9.91375e-06
Step 5278, Diff=9.9122e-06
Step 5279, Diff=9.91066e-06
Step 5280, Diff=9.90911e-06
Step 5281, Diff=9.90757e-06
Step 5282, Diff=9.90602e-06
Step 5283, Diff=9.90448e-06
Step 5284, Diff=9.90294e-06
Step 5285, Diff=9.90139e-06
Step 5286, Diff=9.89985e-06
Step 5287, Diff=9.89831e-06
Step 5288, Diff=9.89677e-06
Step 5289, Diff=9.89523e-06
Step 5290, Diff=9.89369e-06
Step 5291, Diff=9.89215e-06
Step 5292, Diff=9.89061e-06
Step 5293, Diff=9.88907e-06
Step 5294, Diff=9.88753e-06
Step 5295, Diff=9.886e-06
Step 5296, Diff=9.88446e-06
Step 5297, Diff=9.88292e-06
Step 5298, Diff=9.88139e-06
Step 5299, Diff=9.87985e-06
Step 5300, Diff=9.87832e-06
Step 5301, Diff=9.87678e-06
Step 5302, Diff=9.87525e-06
Step 5303, Diff=9.87371e-06
Step 5304, Diff=9.87218e-06
Step 5305, Diff=9.87065e-06
Step 5306, Diff=9.86912e-06
Step 5307, Diff=9.86759e-06
Step 5308, Diff=9.86605e-06
Step 5309, Diff=9.86452e-06
Step 5310, Diff=9.86299e-06
Step 5311, Diff=9.86147e-06
Step 5312, Diff=9.85994e-06
Step 5313, Diff=9.85841e-06
Step 5314, Diff=9.85688e-06
Step 5315, Diff=9.85535e-06
Step 5316, Diff=9.85383e-06
Step 5317, Diff=9.8523e-06
Step 5318, Diff=9.85077e-06
Step 5319, Diff=9.84925e-06
Step 5320, Diff=9.84772e-06
Step 5321, Diff=9.8462e-06
Step 5322, Diff=9.84468e-06
Step 5323, Diff=9.84315e-06
Step 5324, Diff=9.84163e-06
Step 5325, Diff=9.84011e-06
Step 5326, Diff=9.83859e-06
Step 5327, Diff=9.83706e-06
Step 5328, Diff=9.83554e-06
Step 5329, Diff=9.83402e-06
Step 5330, Diff=9.8325e-06
Step 5331, Diff=9.83099e-06
Step 5332, Diff=9.82947e-06
Step 5333, Diff=9.82795e-06
Step 5334, Diff=9.82643e-06
Step 5335, Diff=9.82491e-06
Step 5336, Diff=9.8234e-06
Step 5337, Diff=9.82188e-06
Step 5338, Diff=9.82036e-06
Step 5339, Diff=9.81885e-06
Step 5340, Diff=9.81733e-06
Step 5341, Diff=9.81582e-06
Step 5342, Diff=9.81431e-06
Step 5343, Diff=9.81279e-06
Step 5344, Diff=9.81128e-06
Step 5345, Diff=9.80977e-06
Step 5346, Diff=9.80826e-06
Step 5347, Diff=9.80675e-06
Step 5348, Diff=9.80524e-06
Step 5349, Diff=9.80372e-06
Step 5350, Diff=9.80222e-06
Step 5351, Diff=9.80071e-06
Step 5352, Diff=9.7992e-06
Step 5353, Diff=9.79769e-06
Step 5354, Diff=9.79618e-06
Step 5355, Diff=9.79467e-06
Step 5356, Diff=9.79317e-06
Step 5357, Diff=9.79166e-06
Step 5358, Diff=9.79016e-06
Step 5359, Diff=9.78865e-06
Step 5360, Diff=9.78715e-06
Step 5361, Diff=9.78564e-06
Step 5362, Diff=9.78414e-06
Step 5363, Diff=9.78263e-06
Step 5364, Diff=9.78113e-06
Step 5365, Diff=9.77963e-06
Step 5366, Diff=9.77813e-06
Step 5367, Diff=9.77663e-06
Step 5368, Diff=9.77513e-06
Step 5369, Diff=9.77363e-06
Step 5370, Diff=9.77213e-06
Step 5371, Diff=9.77063e-06
Step 5372, Diff=9.76913e-06
Step 5373, Diff=9.76763e-06
Step 5374, Diff=9.76613e-06
Step 5375, Diff=9.76463e-06
Step 5376, Diff=9.76314e-06
Step 5377, Diff=9.76164e-06
Step 5378, Diff=9.76014e-06
Step 5379, Diff=9.75865e-06
Step 5380, Diff=9.75715e-06
Step 5381, Diff=9.75566e-06
Step 5382, Diff=9.75417e-06
Step 5383, Diff=9.75267e-06
Step 5384, Diff=9.75118e-06
Step 5385, Diff=9.74969e-06
Step 5386, Diff=9.7482e-06
Step 5387, Diff=9.7467e-06
Step 5388, Diff=9.74521e-06
Step 5389, Diff=9.74372e-06
Step 5390, Diff=9.74223e-06
Step 5391, Diff=9.74074e-06
Step 5392, Diff=9.73925e-06
Step 5393, Diff=9.73777e-06
Step 5394, Diff=9.73628e-06
Step 5395, Diff=9.73479e-06
Step 5396, Diff=9.7333e-06
Step 5397, Diff=9.73182e-06
Step 5398, Diff=9.73033e-06
Step 5399, Diff=9.72885e-06
Step 5400, Diff=9.72736e-06
Step 5401, Diff=9.72588e-06
Step 5402, Diff=9.72439e-06
Step 5403, Diff=9.72291e-06
Step 5404, Diff=9.72142e-06
Step 5405, Diff=9.71994e-06
Step 5406, Diff=9.71846e-06
Step 5407, Diff=9.71698e-06
Step 5408, Diff=9.7155e-06
Step 5409, Diff=9.71402e-06
Step 5410, Diff=9.71254e-06
Step 5411, Diff=9.71106e-06
Step 5412, Diff=9.70958e-06
Step 5413, Diff=9.7081e-06
Step 5414, Diff=9.70662e-06
Step 5415, Diff=9.70514e-06
Step 5416, Diff=9.70366e-06
Step 5417, Diff=9.70219e-06
Step 5418, Diff=9.70071e-06
Step 5419, Diff=9.69924e-06
Step 5420, Diff=9.69776e-06
Step 5421, Diff=9.69628e-06
Step 5422, Diff=9.69481e-06
Step 5423, Diff=9.69334e-06
Step 5424, Diff=9.69186e-06
Step 5425, Diff=9.69039e-06
Step 5426, Diff=9.68892e-06
Step 5427, Diff=9.68745e-06
Step 5428, Diff=9.68597e-06
Step 5429, Diff=9.6845e-06
Step 5430, Diff=9.68303e-06
Step 5431, Diff=9.68156e-06
Step 5432, Diff=9.68009e-06
Step 5433, Diff=9.67862e-06
Step 5434, Diff=9.67715e-06
Step 5435, Diff=9.67569e-06
Step 5436, Diff=9.67422e-06
Step 5437, Diff=9.67275e-06
Step 5438, Diff=9.67128e-06
Step 5439, Diff=9.66982e-06
Step 5440, Diff=9.66835e-06
Step 5441, Diff=9.66689e-06
Step 5442, Diff=9.66542e-06
Step 5443, Diff=9.66396e-06
Step 5444, Diff=9.66249e-06
Step 5445, Diff=9.66103e-06
Step 5446, Diff=9.65957e-06
Step 5447, Diff=9.6581e-06
Step 5448, Diff=9.65664e-06
Step 5449, Diff=9.65518e-06
Step 5450, Diff=9.65372e-06
Step 5451, Diff=9.65226e-06
Step 5452, Diff=9.6508e-06
Step 5453, Diff=9.64934e-06
Step 5454, Diff=9.64788e-06
Step 5455, Diff=9.64642e-06
Step 5456, Diff=9.64496e-06
Step 5457, Diff=9.6435e-06
Step 5458, Diff=9.64205e-06
Step 5459, Diff=9.64059e-06
Step 5460, Diff=9.63913e-06
Step 5461, Diff=9.63768e-06
Step 5462, Diff=9.63622e-06
Step 5463, Diff=9.63477e-06
Step 5464, Diff=9.63331e-06
Step 5465, Diff=9.63186e-06
Step 5466, Diff=9.63041e-06
Step 5467, Diff=9.62895e-06
Step 5468, Diff=9.6275e-06
Step 5469, Diff=9.62605e-06
Step 5470, Diff=9.6246e-06
Step 5471, Diff=9.62314e-06
Step 5472, Diff=9.62169e-06
Step 5473, Diff=9.62024e-06
Step 5474, Diff=9.61879e-06
Step 5475, Diff=9.61734e-06
Step 5476, Diff=9.6159e-06
Step 5477, Diff=9.61445e-06
Step 5478, Diff=9.613e-06
Step 5479, Diff=9.61155e-06
Step 5480, Diff=9.6101e-06
Step 5481, Diff=9.60866e-06
Step 5482, Diff=9.60721e-06
Step 5483, Diff=9.60577e-06
Step 5484, Diff=9.60432e-06
Step 5485, Diff=9.60288e-06
Step 5486, Diff=9.60143e-06
Step 5487, Diff=9.59999e-06
Step 5488, Diff=9.59854e-06
Step 5489, Diff=9.5971e-06
Step 5490, Diff=9.59566e-06
Step 5491, Diff=9.59422e-06
Step 5492, Diff=9.59278e-06
Step 5493, Diff=9.59134e-06
Step 5494, Diff=9.58989e-06
Step 5495, Diff=9.58845e-06
Step 5496, Diff=9.58701e-06
Step 5497, Diff=9.58558e-06
Step 5498, Diff=9.58414e-06
Step 5499, Diff=9.5827e-06
Step 5500, Diff=9.58126e-06
Step 5501, Diff=9.57982e-06
Step 5502, Diff=9.57839e-06
Step 5503, Diff=9.57695e-06
Step 5504, Diff=9.57551e-06
Step 5505, Diff=9.57408e-06
Step 5506, Diff=9.57264e-06
Step 5507, Diff=9.57121e-06
Step 5508, Diff=9.56978e-06
Step 5509, Diff=9.56834e-06
Step 5510, Diff=9.56691e-06
Step 5511, Diff=9.56548e-06
Step 5512, Diff=9.56404e-06
Step 5513, Diff=9.56261e-06
Step 5514, Diff=9.56118e-06
Step 5515, Diff=9.55975e-06
Step 5516, Diff=9.55832e-06
Step 5517, Diff=9.55689e-06
Step 5518, Diff=9.55546e-06
Step 5519, Diff=9.55403e-06
Step 5520, Diff=9.5526e-06
Step 5521, Diff=9.55117e-06
Step 5522, Diff=9.54975e-06
Step 5523, Diff=9.54832e-06
Step 5524, Diff=9.54689e-06
Step 5525, Diff=9.54547e-06
Step 5526, Diff=9.54404e-06
Step 5527, Diff=9.54262e-06
Step 5528, Diff=9.54119e-06
Step 5529, Diff=9.53977e-06
Step 5530, Diff=9.53834e-06
Step 5531, Diff=9.53692e-06
Step 5532, Diff=9.5355e-06
Step 5533, Diff=9.53407e-06
Step 5534, Diff=9.53265e-06
Step 5535, Diff=9.53123e-06
Step 5536, Diff=9.52981e-06
Step 5537, Diff=9.52839e-06
Step 5538, Diff=9.52697e-06
Step 5539, Diff=9.52555e-06
Step 5540, Diff=9.52413e-06
Step 5541, Diff=9.52271e-06
Step 5542, Diff=9.52129e-06
Step 5543, Diff=9.51987e-06
Step 5544, Diff=9.51845e-06
Step 5545, Diff=9.51704e-06
Step 5546, Diff=9.51562e-06
Step 5547, Diff=9.5142e-06
Step 5548, Diff=9.51279e-06
Step 5549, Diff=9.51137e-06
Step 5550, Diff=9.50996e-06
Step 5551, Diff=9.50854e-06
Step 5552, Diff=9.50713e-06
Step 5553, Diff=9.50572e-06
Step 5554, Diff=9.5043e-06
Step 5555, Diff=9.50289e-06
Step 5556, Diff=9.50148e-06
Step 5557, Diff=9.50007e-06
Step 5558, Diff=9.49865e-06
Step 5559, Diff=9.49724e-06
Step 5560, Diff=9.49583e-06
Step 5561, Diff=9.49442e-06
Step 5562, Diff=9.49301e-06
Step 5563, Diff=9.4916e-06
Step 5564, Diff=9.4902e-06
Step 5565, Diff=9.48879e-06
Step 5566, Diff=9.48738e-06
Step 5567, Diff=9.48597e-06
Step 5568, Diff=9.48456e-06
Step 5569, Diff=9.48316e-06
Step 5570, Diff=9.48175e-06
Step 5571, Diff=9.48035e-06
Step 5572, Diff=9.47894e-06
Step 5573, Diff=9.47754e-06
Step 5574, Diff=9.47613e-06
Step 5575, Diff=9.47473e-06
Step 5576, Diff=9.47333e-06
Step 5577, Diff=9.47192e-06
Step 5578, Diff=9.47052e-06
Step 5579, Diff=9.46912e-06
Step 5580, Diff=9.46772e-06
Step 5581, Diff=9.46632e-06
Step 5582, Diff=9.46492e-06
Step 5583, Diff=9.46352e-06
Step 5584, Diff=9.46212e-06
Step 5585, Diff=9.46072e-06
Step 5586, Diff=9.45932e-06
Step 5587, Diff=9.45792e-06
Step 5588, Diff=9.45652e-06
Step 5589, Diff=9.45512e-06
Step 5590, Diff=9.45373e-06
Step 5591, Diff=9.45233e-06
Step 5592, Diff=9.45093e-06
Step 5593, Diff=9.44954e-06
Step 5594, Diff=9.44814e-06
Step 5595, Diff=9.44675e-06
Step 5596, Diff=9.44535e-06
Step 5597, Diff=9.44396e-06
Step 5598, Diff=9.44256e-06
Step 5599, Diff=9.44117e-06
Step 5600, Diff=9.43978e-06
Step 5601, Diff=9.43839e-06
Step 5602, Diff=9.43699e-06
Step 5603, Diff=9.4356e-06
Step 5604, Diff=9.43421e-06
Step 5605, Diff=9.43282e-06
Step 5606, Diff=9.43143e-06
Step 5607, Diff=9.43004e-06
Step 5608, Diff=9.42865e-06
Step 5609, Diff=9.42726e-06
Step 5610, Diff=9.42588e-06
Step 5611, Diff=9.42449e-06
Step 5612, Diff=9.4231e-06
Step 5613, Diff=9.42171e-06
Step 5614, Diff=9.42033e-06
Step 5615, Diff=9.41894e-06
Step 5616, Diff=9.41756e-06
Step 5617, Diff=9.41617e-06
Step 5618, Diff=9.41479e-06
Step 5619, Diff=9.4134e-06
Step 5620, Diff=9.41202e-06
Step 5621, Diff=9.41063e-06
Step 5622, Diff=9.40925e-06
Step 5623, Diff=9.40787e-06
Step 5624, Diff=9.40649e-06
Step 5625, Diff=9.4051e-06
Step 5626, Diff=9.40372e-06
Step 5627, Diff=9.40234e-06
Step 5628, Diff=9.40096e-06
Step 5629, Diff=9.39958e-06
Step 5630, Diff=9.3982e-06
Step 5631, Diff=9.39682e-06
Step 5632, Diff=9.39544e-06
Step 5633, Diff=9.39406e-06
Step 5634, Diff=9.39269e-06
Step 5635, Diff=9.39131e-06
Step 5636, Diff=9.38993e-06
Step 5637, Diff=9.38856e-06
Step 5638, Diff=9.38718e-06
Step 5639, Diff=9.3858e-06
Step 5640, Diff=9.38443e-06
Step 5641, Diff=9.38305e-06
Step 5642, Diff=9.38168e-06
Step 5643, Diff=9.3803e-06
Step 5644, Diff=9.37893e-06
Step 5645, Diff=9.37756e-06
Step 5646, Diff=9.37619e-06
Step 5647, Diff=9.37481e-06
Step 5648, Diff=9.37344e-06
Step 5649, Diff=9.37207e-06
Step 5650, Diff=9.3707e-06
Step 5651, Diff=9.36933e-06
Step 5652, Diff=9.36796e-06
Step 5653, Diff=9.36659e-06
Step 5654, Diff=9.36522e-06
Step 5655, Diff=9.36385e-06
Step 5656, Diff=9.36248e-06
Step 5657, Diff=9.36111e-06
Step 5658, Diff=9.35975e-06
Step 5659, Diff=9.35838e-06
Step 5660, Diff=9.35701e-06
Step 5661, Diff=9.35565e-06
Step 5662, Diff=9.35428e-06
Step 5663, Diff=9.35291e-06
Step 5664, Diff=9.35155e-06
Step 5665, Diff=9.35018e-06
Step 5666, Diff=9.34882e-06
Step 5667, Diff=9.34746e-06
Step 5668, Diff=9.34609e-06
Step 5669, Diff=9.34473e-06
Step 5670, Diff=9.34337e-06
Step 5671, Diff=9.34201e-06
Step 5672, Diff=9.34064e-06
Step 5673, Diff=9.33928e-06
Step 5674, Diff=9.33792e-06
Step 5675, Diff=9.33656e-06
Step 5676, Diff=9.3352e-06
Step 5677, Diff=9.33384e-06
Step 5678, Diff=9.33248e-06
Step 5679, Diff=9.33112e-06
Step 5680, Diff=9.32977e-06
Step 5681, Diff=9.32841e-06
Step 5682, Diff=9.32705e-06
Step 5683, Diff=9.32569e-06
Step 5684, Diff=9.32434e-06
Step 5685, Diff=9.32298e-06
Step 5686, Diff=9.32163e-06
Step 5687, Diff=9.32027e-06
Step 5688, Diff=9.31892e-06
Step 5689, Diff=9.31756e-06
Step 5690, Diff=9.31621e-06
Step 5691, Diff=9.31485e-06
Step 5692, Diff=9.3135e-06
Step 5693, Diff=9.31215e-06
Step 5694, Diff=9.31079e-06
Step 5695, Diff=9.30944e-06
Step 5696, Diff=9.30809e-06
Step 5697, Diff=9.30674e-06
Step 5698, Diff=9.30539e-06
Step 5699, Diff=9.30404e-06
Step 5700, Diff=9.30269e-06
Step 5701, Diff=9.30134e-06
Step 5702, Diff=9.29999e-06
Step 5703, Diff=9.29864e-06
Step 5704, Diff=9.29729e-06
Step 5705, Diff=9.29595e-06
Step 5706, Diff=9.2946e-06
Step 5707, Diff=9.29325e-06
Step 5708, Diff=9.29191e-06
Step 5709, Diff=9.29056e-06
Step 5710, Diff=9.28921e-06
Step 5711, Diff=9.28787e-06
Step 5712, Diff=9.28652e-06
Step 5713, Diff=9.28518e-06
Step 5714, Diff=9.28384e-06
Step 5715, Diff=9.28249e-06
Step 5716, Diff=9.28115e-06
Step 5717, Diff=9.27981e-06
Step 5718, Diff=9.27846e-06
Step 5719, Diff=9.27712e-06
Step 5720, Diff=9.27578e-06
Step 5721, Diff=9.27444e-06
Step 5722, Diff=9.2731e-06
Step 5723, Diff=9.27176e-06
Step 5724, Diff=9.27042e-06
Step 5725, Diff=9.26908e-06
Step 5726, Diff=9.26774e-06
Step 5727, Diff=9.2664e-06
Step 5728, Diff=9.26506e-06
Step 5729, Diff=9.26372e-06
Step 5730, Diff=9.26239e-06
Step 5731, Diff=9.26105e-06
Step 5732, Diff=9.25971e-06
Step 5733, Diff=9.25838e-06
Step 5734, Diff=9.25704e-06
Step 5735, Diff=9.25571e-06
Step 5736, Diff=9.25437e-06
Step 5737, Diff=9.25304e-06
Step 5738, Diff=9.2517e-06
Step 5739, Diff=9.25037e-06
Step 5740, Diff=9.24904e-06
Step 5741, Diff=9.2477e-06
Step 5742, Diff=9.24637e-06
Step 5743, Diff=9.24504e-06
Step 5744, Diff=9.24371e-06
Step 5745, Diff=9.24238e-06
Step 5746, Diff=9.24105e-06
Step 5747, Diff=9.23971e-06
Step 5748, Diff=9.23838e-06
Step 5749, Diff=9.23706e-06
Step 5750, Diff=9.23573e-06
Step 5751, Diff=9.2344e-06
Step 5752, Diff=9.23307e-06
Step 5753, Diff=9.23174e-06
Step 5754, Diff=9.23041e-06
Step 5755, Diff=9.22909e-06
Step 5756, Diff=9.22776e-06
Step 5757, Diff=9.22643e-06
Step 5758, Diff=9.22511e-06
Step 5759, Diff=9.22378e-06
Step 5760, Diff=9.22246e-06
Step 5761, Diff=9.22113e-06
Step 5762, Diff=9.21981e-06
Step 5763, Diff=9.21848e-06
Step 5764, Diff=9.21716e-06
Step 5765, Diff=9.21584e-06
Step 5766, Diff=9.21451e-06
Step 5767, Diff=9.21319e-06
Step 5768, Diff=9.21187e-06
Step 5769, Diff=9.21055e-06
Step 5770, Diff=9.20923e-06
Step 5771, Diff=9.20791e-06
Step 5772, Diff=9.20659e-06
Step 5773, Diff=9.20527e-06
Step 5774, Diff=9.20395e-06
Step 5775, Diff=9.20263e-06
Step 5776, Diff=9.20131e-06
Step 5777, Diff=9.19999e-06
Step 5778, Diff=9.19867e-06
Step 5779, Diff=9.19736e-06
Step 5780, Diff=9.19604e-06
Step 5781, Diff=9.19472e-06
Step 5782, Diff=9.19341e-06
Step 5783, Diff=9.19209e-06
Step 5784, Diff=9.19078e-06
Step 5785, Diff=9.18946e-06
Step 5786, Diff=9.18815e-06
Step 5787, Diff=9.18683e-06
Step 5788, Diff=9.18552e-06
