params: /var/spool/slurmd/job30980539/slurm_script, params_128.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=128
	 ny=128
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 128 0 128
I am rank 0, my neighbours are: left: -1, right: -1, bottom: -1, top: -1
I am writing output_source
Step 579, Diff=9.89539e-05
Step 580, Diff=9.88075e-05
Step 581, Diff=9.86616e-05
Step 582, Diff=9.85161e-05
Step 583, Diff=9.83711e-05
Step 584, Diff=9.82265e-05
Step 585, Diff=9.80823e-05
Step 586, Diff=9.79386e-05
Step 587, Diff=9.77953e-05
Step 588, Diff=9.76524e-05
Step 589, Diff=9.751e-05
Step 590, Diff=9.7368e-05
Step 591, Diff=9.72264e-05
Step 592, Diff=9.70852e-05
Step 593, Diff=9.69445e-05
Step 594, Diff=9.68042e-05
Step 595, Diff=9.66643e-05
Step 596, Diff=9.65248e-05
Step 597, Diff=9.63857e-05
Step 598, Diff=9.6247e-05
Step 599, Diff=9.61088e-05
Step 600, Diff=9.59709e-05
Step 601, Diff=9.58335e-05
Step 602, Diff=9.56964e-05
Step 603, Diff=9.55598e-05
Step 604, Diff=9.54236e-05
Step 605, Diff=9.52877e-05
Step 606, Diff=9.51523e-05
Step 607, Diff=9.50172e-05
Step 608, Diff=9.48826e-05
Step 609, Diff=9.47483e-05
Step 610, Diff=9.46144e-05
Step 611, Diff=9.44809e-05
Step 612, Diff=9.43478e-05
Step 613, Diff=9.42151e-05
Step 614, Diff=9.40828e-05
Step 615, Diff=9.39508e-05
Step 616, Diff=9.38192e-05
Step 617, Diff=9.3688e-05
Step 618, Diff=9.35572e-05
Step 619, Diff=9.34267e-05
Step 620, Diff=9.32967e-05
Step 621, Diff=9.31669e-05
Step 622, Diff=9.30376e-05
Step 623, Diff=9.29086e-05
Step 624, Diff=9.278e-05
Step 625, Diff=9.26518e-05
Step 626, Diff=9.25239e-05
Step 627, Diff=9.23964e-05
Step 628, Diff=9.22692e-05
Step 629, Diff=9.21424e-05
Step 630, Diff=9.20159e-05
Step 631, Diff=9.18898e-05
Step 632, Diff=9.17641e-05
Step 633, Diff=9.16387e-05
Step 634, Diff=9.15136e-05
Step 635, Diff=9.13889e-05
Step 636, Diff=9.12646e-05
Step 637, Diff=9.11406e-05
Step 638, Diff=9.10169e-05
Step 639, Diff=9.08936e-05
Step 640, Diff=9.07706e-05
Step 641, Diff=9.0648e-05
Step 642, Diff=9.05257e-05
Step 643, Diff=9.04037e-05
Step 644, Diff=9.02821e-05
Step 645, Diff=9.01608e-05
Step 646, Diff=9.00398e-05
Step 647, Diff=8.99192e-05
Step 648, Diff=8.97989e-05
Step 649, Diff=8.96789e-05
Step 650, Diff=8.95592e-05
Step 651, Diff=8.94399e-05
Step 652, Diff=8.93209e-05
Step 653, Diff=8.92022e-05
Step 654, Diff=8.90838e-05
Step 655, Diff=8.89658e-05
Step 656, Diff=8.88481e-05
Step 657, Diff=8.87307e-05
Step 658, Diff=8.86136e-05
Step 659, Diff=8.84968e-05
Step 660, Diff=8.83803e-05
Step 661, Diff=8.82642e-05
Step 662, Diff=8.81483e-05
Step 663, Diff=8.80328e-05
Step 664, Diff=8.79176e-05
Step 665, Diff=8.78026e-05
